Number,State,Value,Param dt_criterion,Param dt_max_depth,Param dt_max_features,Param dt_min_samples_leaf,Param dt_min_samples_split,Param dt_splitter,Param encoder_type,Param model,Param rf_bootstrap,Param rf_max_depth,Param rf_max_features,Param rf_min_samples_leaf,Param rf_min_samples_split,Param rf_n_estimators,Param xgb_colsample_bytree,Param xgb_gamma,Param xgb_learning_rate,Param xgb_max_depth,Param xgb_min_child_weight,Param xgb_n_estimators,Param xgb_reg_alpha,Param xgb_reg_lambda,Param xgb_subsample
0,COMPLETE,0.8823638235740129,,,,,,,Freq,XGBoost,,,,,,,0.5531618154276072,2.7122352385815898,0.07110984732756406,3,4.4158717242792145,550,0.0005245638390492034,1.2377152232690528e-05,0.6144921878273514
1,COMPLETE,0.8807216034731314,,,,,,,Freq,RandomForest,False,10,sqrt,3,6,500,,,,,,,,,
2,COMPLETE,0.6957383723646714,,,,,,,Freq,XGBoost,,,,,,,0.684464236395812,1.2877183007959907,0.005148063254811295,12,7.767053539380466,150,0.00011242587705871119,0.00792184289207849,0.9807170190190411
3,COMPLETE,0.7403560356132991,,,,,,,Freq,RandomForest,True,6,log2,3,9,600,,,,,,,,,
4,COMPLETE,0.8457068704598503,,,,,,,Freq,XGBoost,,,,,,,0.7507370685310266,3.9078486796557232,0.007690108548973481,9,8.849638902841956,200,0.00027235336260460295,0.0006517627571740336,0.6062342404694353
5,COMPLETE,0.919185932815171,,,,,,,Target,RandomForest,False,17,sqrt,5,5,750,,,,,,,,,
6,COMPLETE,0.9116019398494984,,,,,,,Target,RandomForest,True,22,log2,4,4,750,,,,,,,,,
7,COMPLETE,0.591051900300457,,,,,,,Freq,XGBoost,,,,,,,0.6931074051451559,1.5865136202596046,0.005320086091705443,13,1.9452941772005612,100,0.00019615874632610553,2.3269247102645325e-05,0.9952293007022787
8,COMPLETE,0.9092464471594185,,,,,,,Count,RandomForest,True,44,,1,8,350,,,,,,,,,
9,COMPLETE,0.8969335453551119,,,,,,,Count,RandomForest,True,15,log2,3,3,200,,,,,,,,,
10,COMPLETE,0.8221156426780493,friedman_mse,36,log2,2,4,best,Target,DecisionTree,,,,,,,,,,,,,,,
11,COMPLETE,0.9212115181935453,,,,,,,Target,RandomForest,False,26,sqrt,5,4,800,,,,,,,,,
12,COMPLETE,0.467661047781842,squared_error,5,sqrt,5,10,random,Target,DecisionTree,,,,,,,,,,,,,,,
13,COMPLETE,0.9196367348556439,,,,,,,Target,RandomForest,False,32,sqrt,5,5,800,,,,,,,,,
14,COMPLETE,0.9206668808623499,,,,,,,Target,RandomForest,False,36,sqrt,5,2,800,,,,,,,,,
15,COMPLETE,0.9205099420446602,,,,,,,Target,RandomForest,False,32,sqrt,5,2,600,,,,,,,,,
16,COMPLETE,0.8619911133408484,squared_error,50,,1,2,best,Target,DecisionTree,,,,,,,,,,,,,,,
17,COMPLETE,0.9215704999304678,,,,,,,Target,RandomForest,False,42,sqrt,4,2,650,,,,,,,,,
18,COMPLETE,0.8678132588262967,,,,,,,Count,RandomForest,False,50,,4,3,600,,,,,,,,,
